Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;

1;15;11;1024;0;633158.32457;251.57048; 
2;15;11;1024;0;626190.15313;252.77005; 
3;15;11;1024;0;625998.53263;252.53342; 
4;15;11;1024;0;629258.29641;252.75516; 
5;15;11;1024;0;621567.24265;252.86991; 
6;15;11;1024;0;624093.97648;253.09341; 
7;15;11;1024;0;628184.40835;252.42322; 
8;15;11;1024;0;627323.60702;253.60787; 
9;15;11;1024;0;630221.76861;252.39171; 
10;15;11;1024;0;620690.48324;252.87196; 
11;15;11;1024;0;628458.33211;251.95125; 
12;15;11;1024;0;630296.02259;252.48238; 
13;15;11;1024;0;631719.53626;252.39287; 
14;15;11;1024;0;632197.39445;251.71588; 
15;15;11;1024;0;623188.36506;253.68401; 
16;15;11;1024;0;625141.46266;252.33365; 
17;15;11;1024;0;619528.37984;252.63003; 
18;15;11;1024;0;625646.00854;252.51267; 
19;15;11;1024;0;632107.41411;252.78691; 
20;15;11;1024;0;628339.66785;252.54728; 
21;15;11;1024;0;625535.14799;252.19067; 
22;15;11;1024;0;625650.96521;251.96014; 
23;15;11;1024;0;623597.32760;252.98698; 
24;15;11;1024;0;629147.64567;252.62186; 
25;15;11;1024;0;629659.21386;252.31587; 
26;15;11;1024;0;631600.50603;253.02870; 
27;15;11;1024;0;631694.83150;252.46352; 
28;15;11;1024;0;627838.12964;251.78857; 
29;15;11;1024;0;628787.08054;253.29842; 
30;15;11;1024;0;628966.28849;252.58366; 
1;15;11;2048;0;681592.15407;304.10013; 
2;15;11;2048;0;678385.62310;304.79709; 
3;15;11;2048;0;670652.44522;303.86695; 
4;15;11;2048;0;679711.51146;304.12865; 
5;15;11;2048;0;678237.49092;304.56392; 
6;15;11;2048;0;682681.70204;303.98125; 
7;15;11;2048;0;677064.77223;304.69426; 
8;15;11;2048;0;683283.41374;305.14052; 
9;15;11;2048;0;679877.65362;303.69418; 
10;15;11;2048;0;676661.41346;304.54842; 
11;15;11;2048;0;676267.23112;304.00592; 
12;15;11;2048;0;679936.07438;304.11692; 
13;15;11;2048;0;678073.59382;304.01268; 
14;15;11;2048;0;680952.68398;303.39133; 
15;15;11;2048;0;676011.41288;303.78464; 
16;15;11;2048;0;680794.57380;304.59885; 
17;15;11;2048;0;676421.28161;304.08979; 
18;15;11;2048;0;675661.06193;304.32314; 
19;15;11;2048;0;683225.03997;303.93838; 
20;15;11;2048;0;678937.99463;304.13186; 
21;15;11;2048;0;684090.68988;304.50301; 
22;15;11;2048;0;683409.21993;304.36898; 
23;15;11;2048;0;679265.71252;303.95238; 
24;15;11;2048;0;682605.93891;303.29247; 
25;15;11;2048;0;681201.92837;304.03983; 
26;15;11;2048;0;664944.13276;304.47498; 
27;15;11;2048;0;681130.13824;305.02768; 
28;15;11;2048;0;678256.83031;304.21575; 
29;15;11;2048;0;679250.80768;304.49026; 
30;15;11;2048;0;681718.80231;303.91461; 
1;15;11;4096;0;741432.50790;461.95341; 
2;15;11;4096;0;737506.64802;462.64356; 
3;15;11;4096;0;738891.57494;463.05908; 
4;15;11;4096;0;737704.95572;463.07744; 
5;15;11;4096;0;739301.17228;462.60772; 
6;15;11;4096;0;744471.28515;463.21704; 
7;15;11;4096;0;741643.81888;462.51353; 
8;15;11;4096;0;745991.43699;462.69186; 
9;15;11;4096;0;737414.12070;462.90964; 
10;15;11;4096;0;737300.04179;462.31602; 
11;15;11;4096;0;736144.63602;462.29194; 
12;15;11;4096;0;737687.95868;462.36385; 
13;15;11;4096;0;742635.16752;462.79658; 
14;15;11;4096;0;737700.57033;462.73229; 
15;15;11;4096;0;735413.39898;463.18410; 
16;15;11;4096;0;735557.40085;462.14577; 
17;15;11;4096;0;740676.73221;462.39066; 
18;15;11;4096;0;742212.87761;463.09345; 
19;15;11;4096;0;741403.63576;462.64408; 
20;15;11;4096;0;738311.53713;462.14736; 
21;15;11;4096;0;741615.25824;462.07044; 
22;15;11;4096;0;737224.12143;461.77244; 
23;15;11;4096;0;738279.23266;462.32732; 
24;15;11;4096;0;731156.07467;462.83563; 
25;15;11;4096;0;740890.18303;461.87950; 
26;15;11;4096;0;739147.10115;462.46603; 
27;15;11;4096;0;740366.90260;462.74178; 
28;15;11;4096;0;739620.88479;462.22452; 
29;15;11;4096;0;740448.60266;462.54739; 
30;15;11;4096;0;735550.85499;462.22569; 
1;15;11;8192;0;783034.67512;969.19658; 
2;15;11;8192;0;782429.63946;970.38277; 
3;15;11;8192;0;783709.89096;969.82466; 
4;15;11;8192;0;784765.42040;970.55559; 
5;15;11;8192;0;784633.63351;969.28537; 
6;15;11;8192;0;780194.64823;970.64968; 
7;15;11;8192;0;784180.40445;969.33824; 
8;15;11;8192;0;781538.22826;969.57586; 
9;15;11;8192;0;782280.78629;970.00505; 
10;15;11;8192;0;783554.81083;970.14147; 
11;15;11;8192;0;785697.79351;970.59779; 
12;15;11;8192;0;780785.25183;970.32916; 
13;15;11;8192;0;783245.49021;970.15103; 
14;15;11;8192;0;781929.99710;968.95355; 
15;15;11;8192;0;777857.73556;969.55793; 
16;15;11;8192;0;778040.78815;969.76522; 
17;15;11;8192;0;784716.49888;969.58811; 
18;15;11;8192;0;784400.78116;969.34076; 
19;15;11;8192;0;780929.80862;968.71787; 
20;15;11;8192;0;785204.51006;970.09482; 
21;15;11;8192;0;783490.28124;969.63185; 
22;15;11;8192;0;782311.46366;969.76610; 
23;15;11;8192;0;785964.26848;969.75302; 
24;15;11;8192;0;782046.59418;969.10191; 
25;15;11;8192;0;783292.40382;969.96321; 
26;15;11;8192;0;786757.66401;969.58076; 
