Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;

1;15;1;1024;0;8994.25718;0.22433; 
2;15;1;1024;0;8304.90390;0.18338; 
3;15;1;1024;0;9137.05837;0.17941; 
4;15;1;1024;0;8532.62821;0.17904; 
5;15;1;1024;0;8662.97309;0.20345; 
6;15;1;1024;0;8003.39545;0.17886; 
7;15;1;1024;0;8645.67418;0.17962; 
8;15;1;1024;0;8777.04388;0.17286; 
9;15;1;1024;0;8513.27285;0.17790; 
10;15;1;1024;0;8310.68294;0.17830; 
11;15;1;1024;0;8666.08657;0.21229; 
12;15;1;1024;0;8618.54261;0.17428; 
13;15;1;1024;0;8742.96760;0.17778; 
14;15;1;1024;0;8912.93361;0.17623; 
15;15;1;1024;0;8324.53187;0.17649; 
16;15;1;1024;0;8833.27201;0.18972; 
17;15;1;1024;0;8316.63783;0.21647; 
18;15;1;1024;0;9130.22863;0.17877; 
19;15;1;1024;0;8169.59609;0.17217; 
20;15;1;1024;0;8136.36324;0.17323; 
21;15;1;1024;0;8872.81436;0.17809; 
22;15;1;1024;0;8440.28844;0.20889; 
23;15;1;1024;0;9039.12496;0.21650; 
24;15;1;1024;0;8722.09927;0.17442; 
25;15;1;1024;0;8686.70222;0.17266; 
26;15;1;1024;0;8572.00267;0.17612; 
27;15;1;1024;0;8650.35223;0.17381; 
28;15;1;1024;0;8654.24028;0.23500; 
29;15;1;1024;0;8845.58880;0.17861; 
30;15;1;1024;0;8489.31543;0.17317; 
1;15;1;2048;0;7559.90970;0.18073; 
2;15;1;2048;0;8108.59708;0.17568; 
3;15;1;2048;0;8653.34383;0.18138; 
4;15;1;2048;0;8687.55573;0.21956; 
5;15;1;2048;0;8542.35740;0.17817; 
6;15;1;2048;0;8589.18752;0.18682; 
7;15;1;2048;0;8267.11438;0.18627; 
8;15;1;2048;0;8670.13827;0.17501; 
9;15;1;2048;0;8288.66473;0.18770; 
10;15;1;2048;0;7941.43351;0.19154; 
