Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;

1;15;5;1024;0;23395.28121;0.89651; 
2;15;5;1024;0;23544.91707;0.81414; 
1;15;5;2048;0;23252.86534;0.81794; 
2;15;5;2048;0;23371.60265;0.81884; 
1;15;5;4096;0;22582.64883;0.95177; 
2;15;5;4096;0;23323.70367;0.95487; 
1;15;5;8192;0;22783.72658;1.78039; 
2;15;5;8192;0;22814.61164;1.77400; 
1;15;6;1024;0;110255.42177;46.47707; 
2;15;6;1024;0;111012.52976;46.85071; 
1;15;6;2048;0;113674.53233;51.28265; 
2;15;6;2048;0;115346.60796;51.50621; 
1;15;6;4096;0;117616.66281;91.79605; 
2;15;6;4096;0;116802.18829;91.79258; 
1;15;6;8192;0;116850.07793;196.83510; 
2;15;6;8192;0;117455.09129;196.85081; 
