Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;

1;15;12;1024;0;17530.78754;12.66071; 
2;15;12;1024;0;17441.14307;12.66570; 
3;15;12;1024;0;17672.67295;12.68844; 
4;15;12;1024;0;17572.63234;12.72380; 
5;15;12;1024;0;17661.49617;12.78252; 
6;15;12;1024;0;17722.76850;12.89369; 
7;15;12;1024;0;17588.55166;12.86011; 
8;15;12;1024;0;17702.70181;12.83890; 
9;15;12;1024;0;17449.30490;12.89725; 
10;15;12;1024;0;17557.53239;12.85667; 
11;15;12;1024;0;17703.82371;12.86257; 
12;15;12;1024;0;17754.13016;12.84930; 
13;15;12;1024;0;17678.18977;12.85476; 
14;15;12;1024;0;17738.96148;12.88380; 
15;15;12;1024;0;17746.41877;12.85663; 
16;15;12;1024;0;17657.65209;12.92775; 
17;15;12;1024;0;17661.17964;12.87357; 
18;15;12;1024;0;17537.19608;12.89902; 
19;15;12;1024;0;17440.89133;12.95145; 
20;15;12;1024;0;17690.19182;12.92461; 
21;15;12;1024;0;17801.23905;12.84051; 
22;15;12;1024;0;17347.99932;12.94497; 
23;15;12;1024;0;17628.62232;12.85482; 
24;15;12;1024;0;17722.04032;12.90871; 
25;15;12;1024;0;17553.03344;12.89704; 
26;15;12;1024;0;17713.69410;13.00185; 
27;15;12;1024;0;17822.72751;12.96221; 
28;15;12;1024;0;17593.14606;12.97354; 
29;15;12;1024;0;17598.22979;13.03188; 
30;15;12;1024;0;17283.99479;12.94587; 
1;15;12;2048;0;17314.98138;13.62554; 
2;15;12;2048;0;17348.62416;13.63751; 
3;15;12;2048;0;17734.43311;13.65625; 
4;15;12;2048;0;17553.95123;13.62801; 
5;15;12;2048;0;17744.07011;13.61583; 
6;15;12;2048;0;17289.84548;13.60718; 
7;15;12;2048;0;17638.72299;13.58940; 
8;15;12;2048;0;17571.27181;13.58940; 
9;15;12;2048;0;17853.71762;13.57681; 
10;15;12;2048;0;17584.06032;13.67742; 
11;15;12;2048;0;17542.58742;13.64861; 
12;15;12;2048;0;17618.81397;13.64166; 
13;15;12;2048;0;17673.68684;13.67896; 
14;15;12;2048;0;17686.23902;13.61623; 
15;15;12;2048;0;17415.85996;13.64470; 
16;15;12;2048;0;17709.61972;13.55529; 
17;15;12;2048;0;17545.26019;13.59795; 
18;15;12;2048;0;17737.98715;13.66717; 
19;15;12;2048;0;17542.17500;13.70236; 
20;15;12;2048;0;17561.67434;13.62030; 
21;15;12;2048;0;17605.04789;13.56685; 
22;15;12;2048;0;17780.46934;13.64064; 
23;15;12;2048;0;17782.36334;13.60936; 
24;15;12;2048;0;17420.72448;13.59469; 
25;15;12;2048;0;17707.59008;13.61700; 
26;15;12;2048;0;17608.91876;13.60780; 
27;15;12;2048;0;17699.03807;13.57454; 
28;15;12;2048;0;17654.99202;13.63139; 
29;15;12;2048;0;17382.95611;13.60801; 
30;15;12;2048;0;17594.92962;13.59833; 
1;15;12;4096;0;17618.39027;25.15235; 
