Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;

1;15;1;1024;0;8363.58451;0.20611; 
2;15;1;1024;0;8618.72696;0.23450; 
3;15;1;1024;0;7793.30178;0.17439; 
4;15;1;1024;0;8947.09961;0.18034; 
5;15;1;1024;0;8701.17288;0.17728; 
6;15;1;1024;0;8284.60116;0.18080; 
7;15;1;1024;0;9107.89263;0.21568; 
8;15;1;1024;0;8662.93989;0.17230; 
9;15;1;1024;0;7353.09976;0.17330; 
10;15;1;1024;0;8892.39773;0.17504; 
11;15;1;1024;0;8479.64302;0.17801; 
12;15;1;1024;0;8797.35012;0.23627; 
13;15;1;1024;0;8814.84724;0.17476; 
14;15;1;1024;0;8183.15098;0.17506; 
15;15;1;1024;0;8772.74356;0.17804; 
16;15;1;1024;0;8866.64427;0.18225; 
17;15;1;1024;0;8847.23506;0.17440; 
18;15;1;1024;0;7476.53078;0.21215; 
19;15;1;1024;0;8732.83467;0.18324; 
20;15;1;1024;0;8018.24037;0.18334; 
21;15;1;1024;0;8621.30961;0.17410; 
22;15;1;1024;0;9102.77890;0.18640; 
23;15;1;1024;0;8982.49405;0.17470; 
24;15;1;1024;0;8844.64530;0.21653; 
25;15;1;1024;0;8553.86160;0.17953; 
26;15;1;1024;0;8523.97757;0.17864; 
27;15;1;1024;0;8406.42940;0.17404; 
28;15;1;1024;0;8588.76615;0.17341; 
29;15;1;1024;0;9075.69715;0.22638; 
30;15;1;1024;0;8824.51633;0.18944; 
1;15;1;2048;0;8336.80988;0.18109; 
2;15;1;2048;0;8419.20145;0.17756; 
3;15;1;2048;0;7918.30269;0.18350; 
4;15;1;2048;0;7897.54026;0.18381; 
5;15;1;2048;0;8053.84948;0.21177; 
6;15;1;2048;0;8452.88114;0.19813; 
7;15;1;2048;0;8742.66232;0.18779; 
8;15;1;2048;0;8604.40927;0.17706; 
9;15;1;2048;0;8647.26491;0.18251; 
10;15;1;2048;0;8248.87457;0.19095; 
11;15;1;2048;0;8282.03198;0.22032; 
12;15;1;2048;0;8537.51267;0.18201; 
13;15;1;2048;0;7962.42068;0.17645; 
14;15;1;2048;0;8586.81108;0.18226; 
15;15;1;2048;0;8522.04316;0.18423; 
16;15;1;2048;0;8222.03442;0.22958; 
17;15;1;2048;0;8161.24727;0.22530; 
18;15;1;2048;0;8372.29196;0.18533; 
19;15;1;2048;0;8485.74585;0.17723; 
20;15;1;2048;0;7950.81988;0.18044; 
21;15;1;2048;0;8012.48535;0.17840; 
22;15;1;2048;0;8092.21899;0.21408; 
23;15;1;2048;0;8152.54862;0.18463; 
24;15;1;2048;0;8255.72304;0.17493; 
25;15;1;2048;0;8191.70936;0.18114; 
26;15;1;2048;0;8626.92773;0.17729; 
27;15;1;2048;0;8266.28744;0.17693; 
28;15;1;2048;0;8578.92151;0.19400; 
29;15;1;2048;0;8072.76363;0.17805; 
30;15;1;2048;0;8209.49480;0.17666; 
1;15;1;4096;0;8184.02055;0.18496; 
2;15;1;4096;0;8059.72034;0.18557; 
3;15;1;4096;0;7684.64246;0.19349; 
4;15;1;4096;0;7775.92969;0.22325; 
5;15;1;4096;0;8299.84637;0.18851; 
6;15;1;4096;0;8560.72114;0.18512; 
7;15;1;4096;0;7959.45173;0.18175; 
8;15;1;4096;0;8464.23472;0.18670; 
9;15;1;4096;0;8217.17003;0.24086; 
10;15;1;4096;0;8477.87677;0.18809; 
11;15;1;4096;0;8394.09687;0.18678; 
12;15;1;4096;0;7877.54260;0.18688; 
13;15;1;4096;0;8463.06230;0.18689; 
14;15;1;4096;0;8387.06299;0.18102; 
15;15;1;4096;0;8353.77408;0.22496; 
