Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;

1;15;1;1024;0;8454.35346;0.22184; 
2;15;1;1024;0;8643.98459;0.18043; 
3;15;1;1024;0;8740.89349;0.17546; 
4;15;1;1024;0;8686.13680;0.17821; 
5;15;1;1024;0;8794.25875;0.17280; 
6;15;1;1024;0;8764.89456;0.23364; 
7;15;1;1024;0;8232.94740;0.17631; 
8;15;1;1024;0;8220.94387;0.18369; 
9;15;1;1024;0;9007.68648;0.17421; 
10;15;1;1024;0;8488.31410;0.17775; 
11;15;1;1024;0;8435.22692;0.17793; 
12;15;1;1024;0;8332.20081;0.21806; 
13;15;1;1024;0;8417.40982;0.17496; 
14;15;1;1024;0;8968.64617;0.18024; 
15;15;1;1024;0;7866.65664;0.17277; 
16;15;1;1024;0;7995.12783;0.17783; 
17;15;1;1024;0;8023.60130;0.20211; 
18;15;1;1024;0;8708.67577;0.22288; 
19;15;1;1024;0;8643.60626;0.17548; 
20;15;1;1024;0;8761.37159;0.17785; 
21;15;1;1024;0;8650.24018;0.17317; 
22;15;1;1024;0;8763.39641;0.17451; 
23;15;1;1024;0;9137.65735;0.21554; 
24;15;1;1024;0;8470.77683;0.17430; 
25;15;1;1024;0;8852.37668;0.17231; 
26;15;1;1024;0;8331.55393;0.18244; 
27;15;1;1024;0;9025.79705;0.18202; 
28;15;1;1024;0;8702.47147;0.17516; 
29;15;1;1024;0;8711.51990;0.21615; 
30;15;1;1024;0;8818.94403;0.17411; 
1;15;1;2048;0;8482.61076;0.18140; 
2;15;1;2048;0;8500.94695;0.18006; 
3;15;1;2048;0;8891.26623;0.17609; 
4;15;1;2048;0;8463.27622;0.20817; 
5;15;1;2048;0;7805.48948;0.21426; 
6;15;1;2048;0;8344.25827;0.18525; 
7;15;1;2048;0;8551.28355;0.17553; 
8;15;1;2048;0;8557.84152;0.18467; 
9;15;1;2048;0;8089.44057;0.18073; 
10;15;1;2048;0;8504.70186;0.25565; 
11;15;1;2048;0;8544.33551;0.19073; 
12;15;1;2048;0;8662.46363;0.17635; 
13;15;1;2048;0;8235.60349;0.18229; 
14;15;1;2048;0;8780.82904;0.18143; 
15;15;1;2048;0;8462.60281;0.17874; 
16;15;1;2048;0;8394.77306;0.22493; 
17;15;1;2048;0;8850.63261;0.17487; 
18;15;1;2048;0;8095.08583;0.18097; 
19;15;1;2048;0;8821.61621;0.18376; 
20;15;1;2048;0;8140.74640;0.17602; 
21;15;1;2048;0;8435.74031;0.23992; 
22;15;1;2048;0;8711.08064;0.18614; 
23;15;1;2048;0;8238.60705;0.18130; 
24;15;1;2048;0;8223.91233;0.17613; 
25;15;1;2048;0;8515.71332;0.18258; 
26;15;1;2048;0;8130.73532;0.18115; 
27;15;1;2048;0;7265.87706;0.21228; 
28;15;1;2048;0;8237.44062;0.16954; 
29;15;1;2048;0;8289.83480;0.17872; 
30;15;1;2048;0;8057.12092;0.18029; 
1;15;1;4096;0;7931.91827;0.18532; 
2;15;1;4096;0;8270.86120;0.19143; 
3;15;1;4096;0;8392.10292;0.22946; 
4;15;1;4096;0;8311.51371;0.18273; 
5;15;1;4096;0;7820.52347;0.18595; 
6;15;1;4096;0;8508.06125;0.18217; 
7;15;1;4096;0;8122.05938;0.18347; 
8;15;1;4096;0;8440.85930;0.22338; 
9;15;1;4096;0;8123.64323;0.19038; 
10;15;1;4096;0;8628.81353;0.19009; 
11;15;1;4096;0;7560.85392;0.18469; 
12;15;1;4096;0;8300.90569;0.17901; 
13;15;1;4096;0;8257.36873;0.18401; 
14;15;1;4096;0;8028.34687;0.19300; 
15;15;1;4096;0;8320.48218;0.18350; 
16;15;1;4096;0;8377.46092;0.18672; 
17;15;1;4096;0;8460.92836;0.18497; 
18;15;1;4096;0;8486.34670;0.17929; 
19;15;1;4096;0;8212.12004;0.24455; 
20;15;1;4096;0;8305.74068;0.18491; 
21;15;1;4096;0;8173.38257;0.18671; 
22;15;1;4096;0;8730.40157;0.18680; 
23;15;1;4096;0;8160.66241;0.18440; 
24;15;1;4096;0;7742.86960;0.18338; 
25;15;1;4096;0;8588.97015;0.18477; 
26;15;1;4096;0;8599.33868;0.18546; 
27;15;1;4096;0;8526.14781;0.18351; 
28;15;1;4096;0;8184.81505;0.18948; 
29;15;1;4096;0;8132.02781;0.24918; 
30;15;1;4096;0;8270.17489;0.18751; 
1;15;1;8192;0;8165.17937;0.20852; 
2;15;1;8192;0;7704.69721;0.20257; 
3;15;1;8192;0;7860.14851;0.18756; 
4;15;1;8192;0;7994.17135;0.23994; 
5;15;1;8192;0;8220.44312;0.18806; 
6;15;1;8192;0;8249.05598;0.18752; 
7;15;1;8192;0;7871.09006;0.19037; 
8;15;1;8192;0;8015.91412;0.18616; 
9;15;1;8192;0;8175.54330;0.19194; 
10;15;1;8192;0;7833.29053;0.25277; 
11;15;1;8192;0;8254.96566;0.19102; 
12;15;1;8192;0;8191.29362;0.19265; 
13;15;1;8192;0;8397.02305;0.18947; 
