Runs, Iterations,Problem,ants,BestSequence,RouteDistance,Time,,
,,,,,,,,
1,15,6,1024,0,111045.7986,45.7595, ,
2,15,6,1024,0,109744.818,46.21972, ,
3,15,6,1024,0,111052.52239,46.61289, ,
4,15,6,1024,0,110866.08557,46.78712, ,
5,15,6,1024,0,108079.48611,46.72008, ,
6,15,6,1024,0,110849.85964,46.69455, ,
7,15,6,1024,0,111419.00754,46.88388, ,
8,15,6,1024,0,111236.8368,46.85478, ,
9,15,6,1024,0,109300.06552,46.72101, ,
10,15,6,1024,0,112324.47541,46.89218, ,
11,15,6,1024,0,110219.57847,46.91422, ,
12,15,6,1024,0,111686.40835,46.81228, ,
13,15,6,1024,0,109552.9409,46.90873, ,
14,15,6,1024,0,107644.32145,46.80471, ,
15,15,6,1024,0,110539.8831,46.73505, ,
16,15,6,1024,0,111039.70457,46.69588, ,
17,15,6,1024,0,110093.53905,46.74659, ,
18,15,6,1024,0,111137.10252,46.93904, ,
19,15,6,1024,0,110995.15403,46.73737, ,
20,15,6,1024,0,111830.97911,46.87581, ,
21,15,6,1024,0,109709.02022,46.91723, ,
22,15,6,1024,0,111851.95172,46.7953, ,
23,15,6,1024,0,110517.19156,46.92239, ,
24,15,6,1024,0,111060.21576,46.91658, ,
25,15,6,1024,0,110313.52958,46.7063, ,
26,15,6,1024,0,109981.86098,46.84347, ,
27,15,6,1024,0,108357.4521,46.66484, ,
28,15,6,1024,0,110303.25261,46.8177, ,
29,15,6,1024,0,110345.84567,46.70421, ,
30,15,6,1024,0,110630.4696,46.72832, ,46.744391
1,15,6,2048,0,116003.55329,51.06976, ,
2,15,6,2048,0,113880.1769,51.37477, ,
3,15,6,2048,0,113014.49191,51.29542, ,
4,15,6,2048,0,114584.87001,51.23266, ,
5,15,6,2048,0,114249.26751,51.37189, ,
6,15,6,2048,0,115298.9352,51.3408, ,
7,15,6,2048,0,114822.8172,51.20727, ,
8,15,6,2048,0,114291.16821,51.21845, ,
9,15,6,2048,0,114135.15148,51.20177, ,
10,15,6,2048,0,113673.98299,51.28758, ,
11,15,6,2048,0,115274.24333,51.18063, ,
12,15,6,2048,0,113097.82383,51.35144, ,
13,15,6,2048,0,112088.14264,51.20804, ,
14,15,6,2048,0,115132.16579,51.27352, ,
15,15,6,2048,0,114148.18317,51.3963, ,
16,15,6,2048,0,112821.3266,51.3949, ,
17,15,6,2048,0,115663.30589,51.27888, ,
18,15,6,2048,0,113933.61911,51.348, ,
19,15,6,2048,0,113841.7677,51.2256, ,
20,15,6,2048,0,115007.95069,51.58117, ,
21,15,6,2048,0,115398.81629,51.23795, ,
22,15,6,2048,0,113861.94147,51.33951, ,
23,15,6,2048,0,115296.98942,51.33534, ,
24,15,6,2048,0,114458.32372,51.30651, ,
25,15,6,2048,0,115213.50984,51.54401, ,
26,15,6,2048,0,113989.69323,51.35663, ,
27,15,6,2048,0,115257.68514,51.31669, ,
28,15,6,2048,0,114816.12933,51.30258, ,
29,15,6,2048,0,114836.7117,51.24464, ,
30,15,6,2048,0,115325.18241,51.355, ,51.3059236666667
1,15,6,4096,0,116328.41027,91.62289, ,
2,15,6,4096,0,116042.35714,91.97145, ,
3,15,6,4096,0,117788.82343,91.91255, ,
4,15,6,4096,0,117248.11423,91.67158, ,
5,15,6,4096,0,116167.23281,92.01978, ,
6,15,6,4096,0,115292.67227,91.92635, ,
7,15,6,4096,0,117034.04869,91.86801, ,
8,15,6,4096,0,114387.02975,91.87773, ,
9,15,6,4096,0,116669.3902,91.82047, ,
10,15,6,4096,0,117175.46205,91.93539, ,
11,15,6,4096,0,115987.58434,91.90823, ,
12,15,6,4096,0,115156.71313,91.79926, ,
13,15,6,4096,0,114736.65041,91.80047, ,
14,15,6,4096,0,117569.72342,91.77889, ,
15,15,6,4096,0,115904.80564,91.98158, ,
16,15,6,4096,0,116655.89228,91.75297, ,
17,15,6,4096,0,117249.75713,91.99879, ,
18,15,6,4096,0,116017.36738,91.94876, ,
19,15,6,4096,0,116787.09444,92.00267, ,
20,15,6,4096,0,117304.6383,92.00749, ,
21,15,6,4096,0,116258.62551,92.01349, ,
22,15,6,4096,0,114285.1734,91.90687, ,
23,15,6,4096,0,117082.46828,91.76154, ,
24,15,6,4096,0,117725.02669,91.89602, ,
25,15,6,4096,0,114792.97578,91.94097, ,
26,15,6,4096,0,115664.20085,91.86553, ,
27,15,6,4096,0,115148.73279,91.89776, ,
28,15,6,4096,0,117135.23495,91.89771, ,
29,15,6,4096,0,114329.45002,92.03123, ,
30,15,6,4096,0,116155.09644,91.8347, ,91.888371
1,15,6,8192,0,117335.63331,197.23523, ,
2,15,6,8192,0,116517.90937,197.16973, ,
3,15,6,8192,0,116469.95087,197.31706, ,
4,15,6,8192,0,118113.01385,197.28263, ,
5,15,6,8192,0,116901.39823,197.10573, ,
6,15,6,8192,0,116846.84362,197.16967, ,
7,15,6,8192,0,116586.84661,197.27344, ,
8,15,6,8192,0,116108.6704,197.2082, ,
9,15,6,8192,0,117824.72214,197.1646, ,
10,15,6,8192,0,117550.9469,197.13145, ,
11,15,6,8192,0,117583.3351,197.12964, ,
12,15,6,8192,0,116949.87012,197.14519, ,
13,15,6,8192,0,116522.91718,196.98109, ,
14,15,6,8192,0,116489.15959,197.09388, ,
15,15,6,8192,0,117389.00662,197.17899, ,
16,15,6,8192,0,117626.89159,197.21181, ,
17,15,6,8192,0,117259.18739,197.15201, ,
18,15,6,8192,0,117465.47139,197.11859, ,
19,15,6,8192,0,117033.72329,197.04961, ,
20,15,6,8192,0,116973.90272,197.22765, ,
21,15,6,8192,0,117453.1846,197.1624, ,
22,15,6,8192,0,117462.69845,197.07558, ,
23,15,6,8192,0,115409.40216,197.00505, ,
24,15,6,8192,0,115944.67846,197.17744, ,
25,15,6,8192,0,116192.93424,197.37916, ,
26,15,6,8192,0,116194.30848,197.29184, ,
27,15,6,8192,0,117266.64794,197.04305, ,
28,15,6,8192,0,116147.55628,197.18807, ,
29,15,6,8192,0,117115.97718,197.1688, ,
30,15,6,8192,0,116575.91377,197.26018, ,197.169925666667
