Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;

1;15;1;1024;0;8632.82389;0.19000; 
2;15;1;1024;0;8603.28435;0.18000; 
3;15;1;1024;0;8570.10320;0.17000; 
4;15;1;1024;0;8399.50816;0.19000; 
5;15;1;1024;0;8388.55514;0.18000; 
6;15;1;1024;0;8766.99827;0.18000; 
7;15;1;1024;0;8510.75637;0.17000; 
8;15;1;1024;0;8859.08562;0.19000; 
9;15;1;1024;0;8720.50953;0.18000; 
10;15;1;1024;0;8816.96302;0.18000; 
11;15;1;1024;0;8626.56931;0.18000; 
12;15;1;1024;0;8544.27211;0.19000; 
13;15;1;1024;0;8425.35565;0.17000; 
14;15;1;1024;0;8203.16321;0.18000; 
15;15;1;1024;0;8844.71307;0.18000; 
16;15;1;1024;0;8270.79814;0.18000; 
17;15;1;1024;0;8831.48249;0.17000; 
18;15;1;1024;0;8923.12211;0.16000; 
19;15;1;1024;0;8961.17815;0.18000; 
20;15;1;1024;0;8646.91124;0.18000; 
21;15;1;1024;0;9038.31676;0.19000; 
22;15;1;1024;0;8044.93280;0.18000; 
23;15;1;1024;0;7969.53213;0.16000; 
24;15;1;1024;0;8647.89881;0.17000; 
25;15;1;1024;0;8319.64625;0.18000; 
26;15;1;1024;0;8683.93379;0.16000; 
27;15;1;1024;0;8853.07665;0.18000; 
28;15;1;1024;0;8789.94972;0.17000; 
29;15;1;1024;0;8734.01130;0.18000; 
30;15;1;1024;0;8292.54595;0.18000; 
1;15;1;2048;0;8222.83213;0.18000; 
2;15;1;2048;0;8624.91885;0.19000; 
3;15;1;2048;0;8112.67790;0.18000; 
4;15;1;2048;0;7521.59549;0.19000; 
5;15;1;2048;0;8306.98345;0.18000; 
6;15;1;2048;0;8841.91208;0.17000; 
7;15;1;2048;0;7981.17842;0.18000; 
8;15;1;2048;0;8401.50925;0.18000; 
9;15;1;2048;0;8789.41179;0.17000; 
10;15;1;2048;0;8795.48710;0.18000; 
11;15;1;2048;0;8742.45179;0.18000; 
12;15;1;2048;0;8583.63063;0.20000; 
13;15;1;2048;0;8841.64480;0.19000; 
