run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 0; 15; 1; 1024; 0.13609; 0.00238; 0.00002; 0.00103;  0.00911; 0.00004;  0.00004; 0.00002 ;  6662.347870 ; 0.279331 ;
 1; 15; 1; 1024; 0.00183; 0.00013; 0.00002; 0.00101;  0.00886; 0.00003;  0.00003; 0.00002 ;  6662.347870 ; 0.139052 ;
 2; 15; 1; 1024; 0.00174; 0.00013; 0.00002; 0.00101;  0.00647; 0.00003;  0.00003; 0.00002 ;  6663.734224 ; 0.102229 ;
 3; 15; 1; 1024; 0.00176; 0.00013; 0.00002; 0.00074;  0.00642; 0.00003;  0.00003; 0.00002 ;  6663.734224 ; 0.101308 ;
 4; 15; 1; 1024; 0.00159; 0.00014; 0.00002; 0.00074;  0.00640; 0.00003;  0.00003; 0.00002 ;  6663.734224 ; 0.100801 ;
 0; 15; 1; 2048; 0.00465; 0.00013; 0.00002; 0.00074;  0.00641; 0.00004;  0.00004; 0.00002 ;  6663.734224 ; 0.105844 ;
 1; 15; 1; 2048; 0.00462; 0.00014; 0.00002; 0.00074;  0.00641; 0.00004;  0.00004; 0.00002 ;  6663.734224 ; 0.105807 ;
 2; 15; 1; 2048; 0.00463; 0.00014; 0.00002; 0.00074;  0.00642; 0.00004;  0.00004; 0.00002 ;  6663.734224 ; 0.105984 ;
 3; 15; 1; 2048; 0.00446; 0.00013; 0.00002; 0.00074;  0.00641; 0.00004;  0.00004; 0.00002 ;  6663.734224 ; 0.105723 ;
 4; 15; 1; 2048; 0.00479; 0.00014; 0.00002; 0.00074;  0.00641; 0.00004;  0.00004; 0.00002 ;  6663.734224 ; 0.106067 ;
 0; 15; 1; 4096; 0.01321; 0.00013; 0.00002; 0.00074;  0.00652; 0.00007;  0.00007; 0.00002 ;  6662.347870 ; 0.119870 ;
 1; 15; 1; 4096; 0.01320; 0.00014; 0.00002; 0.00074;  0.00650; 0.00007;  0.00007; 0.00002 ;  6659.431533 ; 0.119601 ;
 2; 15; 1; 4096; 0.01318; 0.00014; 0.00002; 0.00074;  0.00651; 0.00007;  0.00007; 0.00002 ;  6659.431533 ; 0.119660 ;
 3; 15; 1; 4096; 0.01317; 0.00014; 0.00002; 0.00074;  0.00652; 0.00007;  0.00007; 0.00003 ;  6659.431533 ; 0.119805 ;
 4; 15; 1; 4096; 0.01326; 0.00016; 0.00002; 0.00076;  0.00654; 0.00007;  0.00007; 0.00002 ;  6659.431533 ; 0.120232 ;
 0; 15; 1; 8192; 0.16235; 0.00020; 0.00003; 0.00075;  0.00939; 0.00012;  0.00012; 0.00002 ;  6662.347870 ; 0.319686 ;
 1; 15; 1; 8192; 0.16257; 0.00014; 0.00002; 0.00074;  0.00941; 0.00012;  0.00012; 0.00002 ;  6662.347870 ; 0.319992 ;
 2; 15; 1; 8192; 0.16253; 0.00013; 0.00003; 0.00074;  0.00939; 0.00012;  0.00012; 0.00002 ;  6659.431533 ; 0.319762 ;
 3; 15; 1; 8192; 0.16256; 0.00014; 0.00002; 0.00074;  0.00942; 0.00012;  0.00012; 0.00002 ;  6659.431533 ; 0.320179 ;
 4; 15; 1; 8192; 0.16243; 0.00013; 0.00002; 0.00074;  0.00942; 0.00012;  0.00012; 0.00002 ;  6659.431533 ; 0.320106 ;
 0; 15; 2; 1024; 1.83149; 0.01516; 0.00086; 0.31091;  2.33379; 0.00510;  0.00510; 0.00005 ;  16018.182580 ; 37.245857 ;
 1; 15; 2; 1024; 1.64181; 0.01320; 0.00086; 0.31558;  2.34921; 0.00515;  0.00515; 0.00005 ;  16440.484703 ; 37.290487 ;
 2; 15; 2; 1024; 1.64149; 0.01327; 0.00086; 0.31976;  2.35024; 0.00518;  0.00518; 0.00007 ;  16181.303159 ; 37.310996 ;
 3; 15; 2; 1024; 1.64101; 0.01382; 0.00087; 0.31941;  2.37807; 0.00522;  0.00522; 0.00003 ;  16135.294590 ; 37.728728 ;
 4; 15; 2; 1024; 1.64080; 0.01278; 0.00087; 0.31905;  2.37518; 0.00522;  0.00522; 0.00006 ;  16065.897552 ; 37.683559 ;
 0; 15; 2; 2048; 3.89657; 0.01466; 0.00087; 0.31811;  2.40580; 0.01011;  0.01011; 0.00009 ;  15937.157940 ; 40.474989 ;
 1; 15; 2; 2048; 3.89728; 0.01312; 0.00089; 0.32313;  2.42134; 0.01017;  0.01017; 0.00003 ;  15888.187933 ; 40.713675 ;
 2; 15; 2; 2048; 3.90741; 0.01345; 0.00088; 0.32112;  2.41159; 0.01017;  0.01017; 0.00006 ;  16059.006361 ; 40.575164 ;
 3; 15; 2; 2048; 3.89476; 0.01463; 0.00088; 0.32129;  2.41880; 0.01017;  0.01017; 0.00004 ;  16098.863153 ; 40.672059 ;
