run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Copy Data; Total Time ;
0; 15; 1; 1024; 0.18752; 0.00269; 0.00001; 0.00128;  4.250867e-06; 7.878133e-06; 0.26448;  0.456335 ;  
1; 15; 1; 1024; 0.00036; 0.00152; 0.00001; 0.00123;  4.062000e-06; 7.573000e-06; 0.19431;  0.197681 ;  
2; 15; 1; 1024; 0.00028; 0.00135; 0.00001; 0.00092;  4.096200e-06; 8.142267e-06; 0.19245;  0.195268 ;  
3; 15; 1; 1024; 0.00044; 0.00135; 0.00001; 0.00092;  4.144067e-06; 7.611667e-06; 0.19238;  0.195355 ;  
4; 15; 1; 1024; 0.00040; 0.00135; 0.00001; 0.00092;  4.176267e-06; 8.009200e-06; 0.19345;  0.196406 ;  
5; 15; 1; 1024; 0.00028; 0.00139; 0.00001; 0.00092;  4.202133e-06; 8.073533e-06; 0.19266;  0.195520 ;  
6; 15; 1; 1024; 0.00046; 0.00134; 0.00001; 0.00092;  4.169400e-06; 7.777133e-06; 0.19225;  0.195225 ;  
7; 15; 1; 1024; 0.00028; 0.00136; 0.00001; 0.00092;  4.058267e-06; 7.760933e-06; 0.19283;  0.195651 ;  
8; 15; 1; 1024; 0.00028; 0.00137; 0.00001; 0.00092;  4.825133e-06; 9.347333e-06; 0.19277;  0.195651 ;  
9; 15; 1; 1024; 0.00063; 0.00137; 0.00001; 0.00092;  4.033000e-06; 7.640533e-06; 0.19256;  0.195732 ;  
10; 15; 1; 1024; 0.00029; 0.00136; 0.00001; 0.00092;  4.152067e-06; 7.681267e-06; 0.19280;  0.195621 ;  
11; 15; 1; 1024; 0.00028; 0.00138; 0.00001; 0.00092;  4.664600e-06; 7.596000e-06; 0.19281;  0.195649 ;  
12; 15; 1; 1024; 0.00049; 0.00134; 0.00001; 0.00092;  4.019467e-06; 8.140333e-06; 0.19324;  0.196255 ;  
13; 15; 1; 1024; 0.00029; 0.00135; 0.00001; 0.00092;  4.011733e-06; 7.539600e-06; 0.19292;  0.195737 ;  
