Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;

1;15;1;1024;0;8633.18075;0.19000; 
2;15;1;1024;0;9078.73267;0.18000; 
3;15;1;1024;0;8578.33556;0.18000; 
4;15;1;1024;0;8429.79607;0.17000; 
5;15;1;1024;0;8871.94738;0.18000; 
6;15;1;1024;0;8408.96018;0.18000; 
7;15;1;1024;0;8264.98086;0.18000; 
8;15;1;1024;0;8289.28290;0.18000; 
9;15;1;1024;0;8885.26374;0.18000; 
10;15;1;1024;0;8918.54230;0.18000; 
11;15;1;1024;0;8603.79417;0.17000; 
12;15;1;1024;0;8791.49793;0.18000; 
13;15;1;1024;0;8778.21086;0.17000; 
14;15;1;1024;0;8602.13018;0.18000; 
15;15;1;1024;0;8776.31824;0.19000; 
16;15;1;1024;0;9239.99474;0.18000; 
17;15;1;1024;0;8651.71105;0.17000; GPUassert: an illegal memory access was encountered src/../include/musket.cuh 603

18;15;1;1024;srun: error: r13n05: task 0: Exited with exit code 188

19;15;1;1024;0;8601.70488;0.17000; 
20;15;1;1024;0;8716.81281;0.18000; 
21;15;1;1024;0;8583.70477;0.19000; 
22;15;1;1024;0;8801.63242;0.18000; 
23;15;1;1024;0;8372.06598;0.19000; 
24;15;1;1024;0;8811.01370;0.19000; 
25;15;1;1024;0;8116.20010;0.19000; 
26;15;1;1024;0;8414.07048;0.18000; 
27;15;1;1024;0;8500.17846;0.18000; 
28;15;1;1024;0;8369.49668;0.17000; 
29;15;1;1024;0;8133.55775;0.18000; 
30;15;1;1024;0;8925.43510;0.18000; 
1;15;1;2048;0;8935.24862;0.20000; 
2;15;1;2048;0;8417.93476;0.17000; 
3;15;1;2048;0;8036.51133;0.18000; 
4;15;1;2048;0;8384.76690;0.18000; 
5;15;1;2048;0;7238.35202;0.18000; 
6;15;1;2048;0;7980.06599;0.19000; 
7;15;1;2048;0;8526.97167;0.17000; 
8;15;1;2048;0;8567.01008;0.17000; 
9;15;1;2048;0;8149.30838;0.18000; 
10;15;1;2048;0;8921.61957;0.20000; 
11;15;1;2048;0;8525.41185;0.19000; 
12;15;1;2048;0;7850.50469;0.19000; 
13;15;1;2048;0;8448.23874;0.18000; 
14;15;1;2048;0;8427.07637;0.17000; 
15;15;1;2048;0;7898.45079;0.18000; 
16;15;1;2048;0;8606.34476;0.17000; 
17;15;1;2048;0;8357.78347;0.19000; 
18;15;1;2048;0;8298.64630;0.18000; 
19;15;1;2048;0;8838.48252;0.18000; 
20;15;1;2048;0;7997.58950;0.18000; 
21;15;1;2048;0;8510.23683;0.19000; 
22;15;1;2048;0;8166.93606;0.18000; 
23;15;1;2048;0;8400.14561;0.18000; 
24;15;1;2048;0;8862.14957;0.18000; 
25;15;1;2048;0;8157.51051;0.19000; 
26;15;1;2048;0;8340.98896;0.19000; 
27;15;1;2048;0;8928.37046;0.18000; 
28;15;1;2048;0;7998.46284;0.18000; 
29;15;1;2048;0;8602.51400;0.18000; 
30;15;1;2048;0;7723.32820;0.19000; 
1;15;1;4096;0;8482.75604;0.19000; 
2;15;1;4096;0;8155.50238;0.20000; 
3;15;1;4096;0;8257.04669;0.19000; 
4;15;1;4096;0;8219.09539;0.19000; 
5;15;1;4096;0;8491.64033;0.18000; 
6;15;1;4096;0;8008.52173;0.18000; 
7;15;1;4096;0;8177.27585;0.19000; 
8;15;1;4096;0;8149.16633;0.18000; 
9;15;1;4096;0;8448.12701;0.20000; 
10;15;1;4096;0;8388.13900;0.18000; 
11;15;1;4096;0;7216.68585;0.18000; 
12;15;1;4096;0;8301.51667;0.20000; 
13;15;1;4096;0;8282.06476;0.17000; 
14;15;1;4096;0;8070.09405;0.19000; 
15;15;1;4096;0;8080.03326;0.18000; 
16;15;1;4096;0;8181.70638;0.19000; 
17;15;1;4096;0;8173.23577;0.19000; 
18;15;1;4096;0;8131.45819;0.19000; 
19;15;1;4096;0;8481.56238;0.19000; 
20;15;1;4096;0;8450.00087;0.19000; 
21;15;1;4096;0;8361.39051;0.19000; 
22;15;1;4096;0;8474.59120;0.18000; 
23;15;1;4096;0;8487.72221;0.18000; 
24;15;1;4096;0;8703.32814;0.19000; 
25;15;1;4096;0;8371.19740;0.18000; 
26;15;1;4096;0;8565.98275;0.19000; 
27;15;1;4096;0;7843.65041;0.18000; 
28;15;1;4096;0;8557.44813;0.19000; 
29;15;1;4096;0;8142.78191;0.19000; 
30;15;1;4096;0;8242.13566;0.19000; 
1;15;1;8192;0;7733.59848;0.21000; 
2;15;1;8192;0;7984.69433;0.19000; 
3;15;1;8192;0;7707.20993;0.20000; 
4;15;1;8192;0;8205.26202;0.19000; 
5;15;1;8192;0;7940.57091;0.19000; 
6;15;1;8192;0;7921.12309;0.19000; 
7;15;1;8192;0;8132.25486;0.20000; 
8;15;1;8192;0;7126.51961;0.20000; 
9;15;1;8192;0;7954.05001;0.19000; 
10;15;1;8192;0;8307.15429;0.19000; 
11;15;1;8192;0;8275.90763;0.18000; 
12;15;1;8192;0;8142.52099;0.19000; 
13;15;1;8192;0;8483.85726;0.19000; 
14;15;1;8192;0;7851.27670;0.19000; 
15;15;1;8192;0;8245.73187;0.19000; 
16;15;1;8192;0;8196.35630;0.19000; 
17;15;1;8192;0;8347.02030;0.19000; 
18;15;1;8192;0;8075.80564;0.19000; 
19;15;1;8192;0;7662.35703;0.19000; 
20;15;1;8192;0;7525.46190;0.19000; 
21;15;1;8192;0;7993.83900;0.19000; 
22;15;1;8192;0;7595.51667;0.20000; 
23;15;1;8192;0;8146.06720;0.20000; GPUassert: an illegal memory access was encountered src/../include/musket.cuh 603

24;15;1;8192;srun: error: r13n05: task 0: Exited with exit code 188

25;15;1;8192;0;8095.48658;0.19000; 
26;15;1;8192;0;8188.74307;0.18000; 
27;15;1;8192;0;8245.38355;0.18000; 
28;15;1;8192;0;7918.19880;0.17000; 
29;15;1;8192;0;8002.17296;0.18000; 
30;15;1;8192;0;8301.05575;0.20000; 
1;15;3;1024;0;15429.74274;0.80000; 
2;15;3;1024;0;15599.36478;0.75000; 
3;15;3;1024;0;15573.85572;0.75000; 
4;15;3;1024;0;15828.97913;0.76000; 
5;15;3;1024;0;15779.22811;0.75000; 
6;15;3;1024;0;15593.65390;0.75000; 
7;15;3;1024;0;15801.97607;0.76000; 
8;15;3;1024;0;15649.56202;0.75000; 
9;15;3;1024;0;15639.80966;0.76000; 
10;15;3;1024;0;15673.97639;0.76000; 
11;15;3;1024;0;15841.99213;0.75000; 
12;15;3;1024;0;15785.18204;0.76000; 
13;15;3;1024;0;15707.80766;0.76000; 
14;15;3;1024;0;15903.77324;0.76000; 
15;15;3;1024;0;15661.92123;0.75000; 
16;15;3;1024;0;15869.39014;0.76000; 
17;15;3;1024;0;15931.73387;0.76000; 
18;15;3;1024;0;14811.90300;0.76000; 
19;15;3;1024;0;15740.68465;0.76000; 
20;15;3;1024;0;15993.47517;0.77000; 
21;15;3;1024;0;15901.39574;0.75000; 
22;15;3;1024;0;15061.66637;0.76000; 
23;15;3;1024;0;15666.84711;0.76000; 
24;15;3;1024;0;15690.59050;0.76000; 
25;15;3;1024;0;15198.49752;0.75000; 
26;15;3;1024;0;15790.66834;0.76000; 
27;15;3;1024;0;15530.04995;0.76000; 
28;15;3;1024;0;15772.65450;0.76000; 
29;15;3;1024;0;15925.28581;0.77000; 
30;15;3;1024;0;15774.61665;0.76000; 
1;15;3;2048;0;15683.58279;0.81000; 
2;15;3;2048;0;15889.58830;0.83000; 
3;15;3;2048;0;15802.64504;0.77000; 
4;15;3;2048;0;15767.77192;0.82000; 
5;15;3;2048;0;15774.42986;0.76000; 
6;15;3;2048;0;15612.92835;0.77000; 
7;15;3;2048;0;15917.40788;0.76000; 
8;15;3;2048;0;15816.97337;0.77000; 
9;15;3;2048;0;15803.71527;0.76000; 
10;15;3;2048;0;15091.94088;0.76000; 
11;15;3;2048;0;15721.28986;0.77000; 
12;15;3;2048;0;15755.77915;0.77000; 
13;15;3;2048;0;15827.67629;0.78000; 
14;15;3;2048;0;16043.40571;0.77000; 
15;15;3;2048;0;15327.54796;0.76000; 
16;15;3;2048;0;15560.40248;0.77000; 
17;15;3;2048;0;15924.38435;0.76000; 
18;15;3;2048;0;15819.71304;0.78000; 
19;15;3;2048;0;15719.67840;0.77000; 
20;15;3;2048;0;15608.08485;0.77000; 
21;15;3;2048;0;15886.79296;0.77000; 
22;15;3;2048;0;15465.44098;0.77000; 
23;15;3;2048;0;15551.74815;0.77000; 
24;15;3;2048;0;15488.77037;0.77000; 
25;15;3;2048;0;15636.42331;0.77000; 
26;15;3;2048;0;15433.55915;0.77000; 
27;15;3;2048;0;15678.11332;0.78000; 
28;15;3;2048;0;15594.76003;0.77000; 
29;15;3;2048;0;15646.79777;0.77000; 
30;15;3;2048;0;15703.45953;0.77000; 
1;15;3;4096;0;15550.88288;0.91000; 
2;15;3;4096;0;15574.21708;0.91000; 
3;15;3;4096;0;15755.12945;0.91000; 
4;15;3;4096;0;15673.27672;0.91000; 
5;15;3;4096;0;15319.25065;0.92000; 
6;15;3;4096;0;15646.08716;0.91000; 
7;15;3;4096;0;15813.97466;0.91000; 
8;15;3;4096;0;15256.03853;0.91000; 
9;15;3;4096;0;15453.28136;0.91000; 
10;15;3;4096;0;15874.48321;0.91000; 
11;15;3;4096;0;15666.84706;0.91000; 
12;15;3;4096;0;15693.98845;0.91000; 
13;15;3;4096;0;15176.87315;0.91000; 
14;15;3;4096;0;15484.42742;0.91000; 
15;15;3;4096;0;15454.06174;0.92000; 
16;15;3;4096;0;15737.13849;0.92000; 
17;15;3;4096;0;15528.47806;0.91000; 
18;15;3;4096;0;15622.67466;0.92000; 
19;15;3;4096;0;15473.29287;0.91000; 
20;15;3;4096;0;15342.75181;0.91000; 
21;15;3;4096;0;15644.37165;0.91000; 
22;15;3;4096;0;15713.59827;0.91000; 
23;15;3;4096;0;15288.76738;0.91000; 
24;15;3;4096;0;15651.57584;0.91000; 
25;15;3;4096;0;15649.04255;0.91000; 
26;15;3;4096;0;15787.86624;0.91000; 
27;15;3;4096;0;15552.69236;0.91000; 
28;15;3;4096;0;15486.08140;0.91000; 
29;15;3;4096;0;15425.09864;0.91000; 
30;15;3;4096;0;14894.14999;0.91000; 
1;15;3;8192;0;15117.74357;1.71000; 
2;15;3;8192;0;15357.28031;1.71000; 
3;15;3;8192;0;15194.90150;1.70000; 
4;15;3;8192;0;15357.32086;1.72000; 
5;15;3;8192;0;15399.60875;1.72000; 
6;15;3;8192;0;15296.01430;1.72000; 
7;15;3;8192;0;15606.20953;1.72000; 
8;15;3;8192;0;15449.39996;1.72000; 
9;15;3;8192;0;15528.45565;1.71000; 
10;15;3;8192;0;15130.17026;1.71000; 
11;15;3;8192;0;15549.23462;1.73000; 
12;15;3;8192;0;15249.58208;1.72000; 
13;15;3;8192;0;15307.38734;1.71000; 
14;15;3;8192;0;15586.47535;1.71000; 
15;15;3;8192;0;15339.24450;1.72000; 
16;15;3;8192;0;15628.77952;1.72000; 
17;15;3;8192;0;15660.21613;1.73000; 
18;15;3;8192;0;15661.04937;1.73000; 
19;15;3;8192;0;15632.04701;1.73000; 
20;15;3;8192;0;15580.48968;1.73000; 
21;15;3;8192;0;15203.32017;1.72000; 
22;15;3;8192;0;15321.33294;1.73000; 
23;15;3;8192;0;15201.48324;1.75000; 
24;15;3;8192;0;15593.83108;1.73000; 
25;15;3;8192;0;15366.19459;1.73000; 
26;15;3;8192;0;15074.81215;1.73000; 
27;15;3;8192;0;15391.25190;1.72000; 
28;15;3;8192;0;15283.82639;1.73000; 
29;15;3;8192;0;15605.79186;1.73000; 
30;15;3;8192;0;15567.65361;1.73000; 
